"il","neden","gelen_sayi","giden_sayi","net_goc"
"Denizli","Sağlık / bakım Health / care",194,202,-8
"Denizli","Ev alınması Buying a house",547,452,95
"Denizli","Emeklilik Retirement",125,96,29
"Denizli","Diğer Other",1219,407,812
"Denizli","Bilinmeyen Unknown",2263,2091,172
"Diyarbakır","Tayin / iş değişikliği Assignation / change of job",5292,6295,-1003
"Diyarbakır","İşe başlamak / iş bulmak Starting / finding a job",2494,4029,-1535
"Diyarbakır","Eğitim Education",6978,10032,-3054
"Diyarbakır","Daha iyi konut ve yaşam koşulları Better housing and living conditions",5988,8312,-2324
"Diyarbakır","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",11708,14246,-2538
"Diyarbakır","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",3633,1047,2586
"Diyarbakır","Sağlık / bakım Health / care",127,174,-47
"Diyarbakır","Ev alınması Buying a house",1486,926,560
"Diyarbakır","Emeklilik Retirement",86,154,-68
"Diyarbakır","Diğer Other",597,962,-365
"Diyarbakır","Bilinmeyen Unknown",3144,1848,1296
"Edirne","Tayin / iş değişikliği Assignation / change of job",1913,1958,-45
"Edirne","İşe başlamak / iş bulmak Starting / finding a job",1092,2377,-1285
"Edirne","Eğitim Education",5333,2612,2721
"Edirne","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2637,2302,335
"Edirne","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",3194,3151,43
"Edirne","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",547,503,44
"Edirne","Sağlık / bakım Health / care",76,124,-48
"Edirne","Ev alınması Buying a house",477,396,81
"Edirne","Emeklilik Retirement",119,76,43
"Edirne","Diğer Other",252,218,34
"Edirne","Bilinmeyen Unknown",838,1859,-1021
"Elazığ","Tayin / iş değişikliği Assignation / change of job",2290,2361,-71
"Elazığ","İşe başlamak / iş bulmak Starting / finding a job",864,1813,-949
"Elazığ","Eğitim Education",4548,3940,608
"Elazığ","Daha iyi konut ve yaşam koşulları Better housing and living conditions",3654,3287,367
"Elazığ","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",4507,4208,299
"Elazığ","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",976,3643,-2667
"Elazığ","Sağlık / bakım Health / care",87,146,-59
"Elazığ","Ev alınması Buying a house",829,689,140
"Elazığ","Emeklilik Retirement",131,77,54
"Elazığ","Diğer Other",360,407,-47
"Elazığ","Bilinmeyen Unknown",1071,1653,-582
"Erzincan","Tayin / iş değişikliği Assignation / change of job",1498,1781,-283
"Erzincan","İşe başlamak / iş bulmak Starting / finding a job",784,1478,-694
"Erzincan","Eğitim Education",3756,2709,1047
"Erzincan","Daha iyi konut ve yaşam koşulları Better housing and living conditions",1886,3067,-1181
"Erzincan","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",2738,3598,-860
"Erzincan","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",333,369,-36
"Erzincan","Sağlık / bakım Health / care",96,80,16
"Erzincan","Ev alınması Buying a house",423,555,-132
"Erzincan","Emeklilik Retirement",79,80,-1
"Erzincan","Diğer Other",199,281,-82
"Erzincan","Bilinmeyen Unknown",512,1077,-565
"Erzurum","Tayin / iş değişikliği Assignation / change of job",2859,4305,-1446
"Erzurum","İşe başlamak / iş bulmak Starting / finding a job",1236,3541,-2305
"Erzurum","Eğitim Education",6712,5447,1265
"Erzurum","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2457,5560,-3103
"Erzurum","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",5309,9228,-3919
"Erzurum","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",775,604,171
"Erzurum","Sağlık / bakım Health / care",148,190,-42
"Erzurum","Ev alınması Buying a house",406,675,-269
"Erzurum","Emeklilik Retirement",83,122,-39
"Erzurum","Diğer Other",301,505,-204
"Erzurum","Bilinmeyen Unknown",1115,2473,-1358
"Eskişehir","Tayin / iş değişikliği Assignation / change of job",3760,2978,782
"Eskişehir","İşe başlamak / iş bulmak Starting / finding a job",3530,3099,431
"Eskişehir","Eğitim Education",8740,6087,2653
"Eskişehir","Daha iyi konut ve yaşam koşulları Better housing and living conditions",6545,4953,1592
"Eskişehir","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",6329,4680,1649
"Eskişehir","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",600,1486,-886
"Eskişehir","Sağlık / bakım Health / care",199,193,6
"Eskişehir","Ev alınması Buying a house",1362,708,654
"Eskişehir","Emeklilik Retirement",242,177,65
"Eskişehir","Diğer Other",488,400,88
"Eskişehir","Bilinmeyen Unknown",2448,2873,-425
"Gaziantep","Tayin / iş değişikliği Assignation / change of job",5599,5310,289
"Gaziantep","İşe başlamak / iş bulmak Starting / finding a job",3836,3319,517
"Gaziantep","Eğitim Education",8276,12364,-4088
"Gaziantep","Daha iyi konut ve yaşam koşulları Better housing and living conditions",11902,7914,3988
"Gaziantep","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",10800,10739,61
"Gaziantep","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",6208,2657,3551
"Gaziantep","Sağlık / bakım Health / care",72,148,-76
"Gaziantep","Ev alınması Buying a house",1807,864,943
"Gaziantep","Emeklilik Retirement",124,128,-4
"Gaziantep","Diğer Other",610,1004,-394
"Gaziantep","Bilinmeyen Unknown",3724,2029,1695
"Giresun","Tayin / iş değişikliği Assignation / change of job",1848,1952,-104
"Giresun","İşe başlamak / iş bulmak Starting / finding a job",1024,2091,-1067
"Giresun","Eğitim Education",4001,3908,93
"Giresun","Daha iyi konut ve yaşam koşulları Better housing and living conditions",3150,6143,-2993
"Giresun","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",4025,4391,-366
"Giresun","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",185,650,-465
"Giresun","Sağlık / bakım Health / care",140,173,-33
"Giresun","Ev alınması Buying a house",579,916,-337
"Giresun","Emeklilik Retirement",173,163,10
"Giresun","Diğer Other",414,270,144
"Giresun","Bilinmeyen Unknown",1227,1406,-179
"Gümüşhane","Tayin / iş değişikliği Assignation / change of job",656,1239,-583
"Gümüşhane","İşe başlamak / iş bulmak Starting / finding a job",318,1912,-1594
"Gümüşhane","Eğitim Education",3839,2759,1080
"Gümüşhane","Daha iyi konut ve yaşam koşulları Better housing and living conditions",1295,4865,-3570
"Gümüşhane","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",2656,4214,-1558
"Gümüşhane","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",940,397,543
"Gümüşhane","Sağlık / bakım Health / care",24,96,-72
"Gümüşhane","Ev alınması Buying a house",227,1278,-1051
"Gümüşhane","Emeklilik Retirement",100,114,-14
"Gümüşhane","Diğer Other",1522,131,1391
"Gümüşhane","Bilinmeyen Unknown",381,1008,-627
"Hakkari","Tayin / iş değişikliği Assignation / change of job",1769,3075,-1306
"Hakkari","İşe başlamak / iş bulmak Starting / finding a job",316,1451,-1135
"Hakkari","Eğitim Education",1416,1961,-545
"Hakkari","Daha iyi konut ve yaşam koşulları Better housing and living conditions",1546,2128,-582
"Hakkari","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",2002,3360,-1358
"Hakkari","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",329,343,-14
"Hakkari","Sağlık / bakım Health / care",4,36,-32
"Hakkari","Ev alınması Buying a house",37,262,-225
"Hakkari","Emeklilik Retirement",5,26,-21
"Hakkari","Diğer Other",85,266,-181
"Hakkari","Bilinmeyen Unknown",593,487,106
"Hatay","Tayin / iş değişikliği Assignation / change of job",4180,4840,-660
"Hatay","İşe başlamak / iş bulmak Starting / finding a job",2434,3485,-1051
